precursor,pyrolysis T (K),activator_name,activator_ratio,BET (m2/g),T ads (K),P ads (bar),CO2 ads (mmol/g),pore volume (cm3/g),C (%),N (%),H (%),S (%),O (%),ash (%),VM (%),FC (%),H/O (molar),O/C (molar),H/C (molar),(O+N)/C (molar)
almond shells,973,CO2,0,1090,298,0.15,1.14,0.5,50.73,0.30,6.02,0.59,41.06,1.30,82.30,16.40,2.35,0.61,1.42,0.61
bamboo,1246,KOH-1,1,930,298,0.9,3.7,0.41,51.49,0.40,5.09,0.04,41.96,1.02,81.54,17.44,1.94,0.61,1.19,0.62
bamboo,1246,KOH-1,1,930,298,1,3.8,0.41,51.49,0.40,5.09,0.04,41.96,1.02,81.54,17.44,1.94,0.61,1.19,0.62
eucalyptus sawdust,873,KOH-2,2,1260,273,1,6.1,0.62,46.80,0.10,6.10,0.00,46.50,0.50,84.60,14.90,2.10,0.75,1.56,0.75
eucalyptus sawdust,923,KOH-2,2,1380,273,1,6,0.67,46.80,0.10,6.10,0.00,46.50,0.50,84.60,14.90,2.10,0.75,1.56,0.75
eucalyptus sawdust,973,KOH-2,2,1390,273,1,6.6,0.69,46.80,0.10,6.10,0.00,46.50,0.50,84.60,14.90,2.10,0.75,1.56,0.75
eucalyptus sawdust,1073,KOH-2,2,1940,273,1,5.8,0.97,46.80,0.10,6.10,0.00,46.50,0.50,84.60,14.90,2.10,0.75,1.56,0.75
eucalyptus sawdust,873,KOH-4,4,2370,273,1,5.2,1.15,46.80,0.10,6.10,0.00,46.50,0.50,84.60,14.90,2.10,0.75,1.56,0.75
eucalyptus sawdust,973,KOH-4,4,2250,273,1,5.5,1.03,46.80,0.10,6.10,0.00,46.50,0.50,84.60,14.90,2.10,0.75,1.56,0.75
eucalyptus sawdust,1073,KOH-4,4,2850,273,1,5.2,1.35,46.80,0.10,6.10,0.00,46.50,0.50,84.60,14.90,2.10,0.75,1.56,0.75
eucalyptus sawdust,873,KOH-2,2,1260,298,1,4.8,0.62,46.80,0.10,6.10,0.00,46.50,0.50,84.60,14.90,2.10,0.75,1.56,0.75
eucalyptus sawdust,923,KOH-2,2,1380,298,1,4.7,0.67,46.80,0.10,6.10,0.00,46.50,0.50,84.60,14.90,2.10,0.75,1.56,0.75
eucalyptus sawdust,973,KOH-2,2,1390,298,1,4.3,0.69,46.80,0.10,6.10,0.00,46.50,0.50,84.60,14.90,2.10,0.75,1.56,0.75
eucalyptus sawdust,1073,KOH-2,2,1940,298,1,3.9,0.97,46.80,0.10,6.10,0.00,46.50,0.50,84.60,14.90,2.10,0.75,1.56,0.75
eucalyptus sawdust,873,KOH-4,4,2370,298,1,2.9,1.15,46.80,0.10,6.10,0.00,46.50,0.50,84.60,14.90,2.10,0.75,1.56,0.75
eucalyptus sawdust,973,KOH-4,4,2250,298,1,2.9,1.03,46.80,0.10,6.10,0.00,46.50,0.50,84.60,14.90,2.10,0.75,1.56,0.75
eucalyptus sawdust,1073,KOH-4,4,2850,298,1,3,1.35,46.80,0.10,6.10,0.00,46.50,0.50,84.60,14.90,2.10,0.75,1.56,0.75
eucalyptus sawdust,873,KOH-2,2,1260,323,1,3.6,0.62,46.80,0.10,6.10,0.00,46.50,0.50,84.60,14.90,2.10,0.75,1.56,0.75
eucalyptus sawdust,923,KOH-2,2,1380,323,1,3.3,0.67,46.80,0.10,6.10,0.00,46.50,0.50,84.60,14.90,2.10,0.75,1.56,0.75
eucalyptus sawdust,973,KOH-2,2,1390,323,1,2.6,0.69,46.80,0.10,6.10,0.00,46.50,0.50,84.60,14.90,2.10,0.75,1.56,0.75
eucalyptus sawdust,1073,KOH-2,2,1940,323,1,3.1,0.97,46.80,0.10,6.10,0.00,46.50,0.50,84.60,14.90,2.10,0.75,1.56,0.75
eucalyptus sawdust,973,KOH-4,4,2250,323,1,1.8,1.03,46.80,0.10,6.10,0.00,46.50,0.50,84.60,14.90,2.10,0.75,1.56,0.75
tobacco stem,873,KOH-2,2,2690,298,1,3.35,1.36,37.62,2.23,4.25,1.15,32.69,22.06,64.42,13.52,2.08,0.65,1.36,0.70
tobacco stem,973,KOH-2,2,3325,298,1,3.2,1.71,37.62,2.23,4.25,1.15,32.69,22.06,64.42,13.52,2.08,0.65,1.36,0.70
tobacco stem,1073,KOH-2,2,3839,298,1,2.3,2.3,37.62,2.23,4.25,1.15,32.69,22.06,64.42,13.52,2.08,0.65,1.36,0.70
tobacco stem,1173,KOH-2,2,3391,298,1,1.5,2.72,37.62,2.23,4.25,1.15,32.69,22.06,64.42,13.52,2.08,0.65,1.36,0.70
tobacco stem,873,KOH-2,2,2690,298,0.8,2.7,1.36,37.62,2.23,4.25,1.15,32.69,22.06,64.42,13.52,2.08,0.65,1.36,0.70
tobacco stem,973,KOH-2,2,3325,298,0.8,2.5,1.71,37.62,2.23,4.25,1.15,32.69,22.06,64.42,13.52,2.08,0.65,1.36,0.70
tobacco stem,1073,KOH-2,2,3839,298,0.8,1.7,2.3,37.62,2.23,4.25,1.15,32.69,22.06,64.42,13.52,2.08,0.65,1.36,0.70
tobacco stem,1173,KOH-2,2,3391,298,0.8,1.1,2.72,37.62,2.23,4.25,1.15,32.69,22.06,64.42,13.52,2.08,0.65,1.36,0.70
tobacco stem,873,KOH-2,2,2690,298,0.6,2.1,1.36,37.62,2.23,4.25,1.15,32.69,22.06,64.42,13.52,2.08,0.65,1.36,0.70
tobacco stem,973,KOH-2,2,3325,298,0.6,1.8,1.71,37.62,2.23,4.25,1.15,32.69,22.06,64.42,13.52,2.08,0.65,1.36,0.70
tobacco stem,1073,KOH-2,2,3839,298,0.6,1.1,2.3,37.62,2.23,4.25,1.15,32.69,22.06,64.42,13.52,2.08,0.65,1.36,0.70
tobacco stem,1173,KOH-2,2,3391,298,0.6,0.8,2.72,37.62,2.23,4.25,1.15,32.69,22.06,64.42,13.52,2.08,0.65,1.36,0.70
tobacco stem,873,KOH-2,2,2690,298,0.4,1.6,1.36,37.62,2.23,4.25,1.15,32.69,22.06,64.42,13.52,2.08,0.65,1.36,0.70
